symbol,name,industry,index
HAL,Hindustan Aeronautics Ltd.,Capital Goods,NIFTY200
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY200
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,NIFTY200
HINDZINC,Hindustan Zinc Ltd.,Metals & Mining,NIFTY200
POWERINDIA,Hitachi Energy India Ltd.,Capital Goods,NIFTY200
HUDCO,Housing & Urban Development Corporation Ltd.,Financial Services,NIFTY200
HYUNDAI,Hyundai Motor India Ltd.,Automobile and Auto Components,NIFTY200
ICICIGI,ICICI Lombard General Insurance Company Ltd.,Financial Services,NIFTY200
ICICIAMC,ICICI Prudential Asset Management Company Ltd.,Financial Services,NIFTY200
IDFCFIRSTB,IDFC First Bank Ltd.,Financial Services,NIFTY200
ITC,ITC Ltd.,Fast Moving Consumer Goods,NIFTY200
INDIANB,Indian Bank,Financial Services,NIFTY200
INDHOTEL,Indian Hotels Co. Ltd.,Consumer Services,NIFTY200
IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY200
